Classe,guerreiro
força,destreza,vigor,inteligencia,percepção,raciocinio
18,10,18,5,10,2
13,20,18,2,11,12
16,15,17,4,1,1
19,14,13,3,1,12
12,10,17,12,4,13
12,18,16,11,10,11
17,17,13,1,1,2
18,14,16,9,5,13
17,13,11,4,5,6
19,19,16,6,7,6
10,17,18,10,5,3
13,16,17,6,13,10
16,14,10,3,12,4
10,12,13,3,5,13
18,20,11,4,10,12
13,16,15,1,3,11
13,18,19,3,13,5
13,10,13,5,13,3
11,17,12,7,7,8
19,17,10,11,10,6
13,19,12,12,9,12
10,17,13,3,13,4
10,10,11,13,6,9
11,14,20,2,13,12
19,17,12,11,3,5
15,11,19,6,8,1
14,18,12,1,1,8
10,14,11,11,4,9
19,12,20,1,5,8
12,15,12,8,6,2
13,14,15,7,8,13
17,19,20,6,11,7
19,16,20,8,7,2
11,13,10,9,4,11
13,15,16,3,10,12
17,12,12,7,1,12
15,16,14,11,11,7
11,11,20,5,8,9
19,17,10,7,1,6
12,18,12,9,11,8
15,11,11,11,3,5
11,13,18,3,8,10
14,14,20,10,11,12
14,19,18,9,6,9
18,12,12,11,13,1
14,19,19,12,7,7
19,18,20,8,8,1
20,19,13,7,7,10
10,17,20,11,10,4
10,12,15,9,5,9
20,11,15,7,8,8
10,16,10,6,1,7
11,16,19,12,7,5
16,11,17,5,5,2
10,15,19,10,3,7
13,17,16,12,8,3
10,13,14,3,9,13
19,14,19,7,1,13
15,10,12,10,12,4
18,19,18,3,13,12
18,20,15,13,10,13
13,13,13,4,4,1
18,13,20,8,2,6
18,18,11,6,7,1
18,17,18,13,8,13
18,11,12,9,8,12
17,14,15,3,10,5
19,15,19,7,13,4
20,17,11,4,8,10
12,18,16,2,4,13
20,13,14,6,10,12
17,20,16,5,8,12
18,11,20,3,7,8
16,12,15,3,6,7
14,11,13,2,9,5
10,14,12,7,6,12
12,10,15,7,8,1
18,19,14,3,1,4
11,10,17,8,5,11
20,11,15,11,12,3
12,16,14,5,2,6
18,13,14,10,7,1
11,15,17,5,3,9
17,11,12,10,5,13
16,19,11,10,1,9
17,14,13,4,3,10
13,12,18,2,1,11
17,15,16,3,13,12
14,15,11,7,13,6
11,12,19,6,7,5
11,18,13,6,11,2
18,15,19,5,11,10
20,18,12,3,11,10
19,20,11,12,13,10
15,10,10,13,4,9
Classe,mago
força,destreza,vigor,inteligencia,percepção,raciocinio
2,7,12,19,14,18
12,10,10,17,14,11
8,6,11,18,17,16
5,7,2,20,16,12
8,5,4,19,14,17
10,4,11,14,18,19
2,4,11,12,20,20
7,3,5,20,12,20
2,4,6,14,13,14
2,11,6,13,18,13
4,8,9,16,11,12
3,8,2,12,12,13
7,3,2,15,13,11
7,4,1,14,14,19
6,2,7,17,18,18
12,1,7,12,13,19
1,3,11,11,13,16
8,5,2,12,15,11
7,11,7,12,15,20
7,5,1,13,14,20
2,10,12,12,14,16
6,3,5,19,15,20
4,4,3,17,15,11
12,8,12,18,11,14
7,6,4,13,20,17
1,7,2,14,15,16
4,3,4,17,15,18
8,3,10,18,20,15
9,6,9,14,17,19
1,2,2,13,16,17
5,2,2,12,14,14
8,8,2,20,11,15
2,9,9,17,19,20
8,2,6,20,12,14
12,4,7,17,12,18
8,3,5,18,13,17
6,1,8,12,14,12
2,7,5,18,17,14
2,5,9,14,14,12
6,1,1,11,13,15
1,4,5,13,15,15
12,12,12,11,12,11
1,9,1,13,20,18
10,1,4,15,15,17
9,10,8,16,14,20
10,12,8,20,16,16
8,6,5,20,20,12
1,1,6,13,17,14
10,4,2,18,16,20
6,7,2,19,15,19
6,4,5,11,17,14
7,1,2,16,12,11
2,12,10,12,14,15
9,4,1,18,14,17
2,5,2,12,13,15
8,8,9,16,12,12
2,2,12,19,14,17
12,3,11,18,16,18
11,8,8,16,18,11
9,1,3,16,20,14
4,1,11,17,17,13
7,3,5,11,16,17
5,4,9,17,13,16
7,9,5,20,18,16
1,1,10,18,11,13
10,5,4,11,20,12
